Título,Precio (€),Superficie (m²),€/m²,Habitaciones,Baños,Estado,Link
"Ático en calle de Zurbano, Almagro, Madrid",3300000,5,660000.0,5 hab.,,"Fantástico tríplex muy luminoso y bien ubicado en Zurbano de 344 m2, que cuenta con un amplio hall distribuidor, gran salón, comedor independiente, despacho, aseo de visitas, gabanero, amplia cocina con entrada de servicio, zona de lavado, dormitorio de servicio, y zona de estar; todo ello en planta 5ª. Planta 6ª: Cuatro dormitorio, dos en suite, y dos comparten un baño. Planta 7ª: En ático, gran salón multiusos, y maravillosas vistas. Toda la casa cuenta con grandes ventanales.
La Finca es segregable.",https://www.idealista.com/inmueble/106763707/
"Ático en calle de Zurbano, Almagro, Madrid",3300000,6,550000.0,6 hab.,,"Este exclusivo inmueble, ubicado en el prestigioso barrio de Almagro, Madrid, cuenta con una superficie construida de tres plantas, cada una cuidadosamente diseñada para ofrecer el máximo confort y elegancia. La propiedad se sitúa en una finca señorial de mediados del siglo, con un acceso majestuoso que incluye un hall de entrada imponente y techos altos que acentúan la amplitud del espacio. Con una superficie de 40 metros, la tercera planta ofrece un espacio versátil que puede adaptarse a diversas necesidades, como un estudio o una zona de jue",https://www.idealista.com/inmueble/105792251/
"Piso en paseo de Eduardo Dato, Almagro, Madrid",6200000,3,2066666.67,3 hab.,,"Piso señorial  muy luminoso de 548 m2 situado en la mejor zona de Almagro cerca de la plaza de Rubén Darío. Se accede al edificio a través de un portal muy representativo. Al entrar a la vivienda nos encontramos con un amplísimo salón en dos ambientes, uno de ellos con chimenea, con salida a una terraza con fabulosas vistas que bordea todo el salón, con orientaciones sur y oeste. Comedor independiente. Biblioteca. Dispone de tres amplios dormitorios, el principal con chimenea, con posibilidad de hacer dos más. Todo exterior. Gran cocina con off",https://www.idealista.com/inmueble/106812094/
"Piso en calle de Maudes, Nuevos Ministerios-Ríos Rosas, Madrid",1680000,3,560000.0,3 hab.,,"Espectacular propiedad a estrenar en Chamberí
Engel & Völkers les presenta este amplio y luminoso piso recién reformado a estrenar, situado en el corazón de Ríos Rosas, Chamberí.
Completamente reformado con la intención de mantener elementos arquitectónicos clásicos propios del edificio e integrarlo con un diseño interior moderno, limpio y acabados de alta calidad.
La propiedad cuenta con amplios ventanales completamente renovados que permiten que la casa reciba abundante luz natural y esté adecuadamente aislada térmica y acústicamente.
La",https://www.idealista.com/inmueble/107431148/
"Piso en calle de Francisco de Rojas, Trafalgar, Madrid",2200000,3,733333.33,3 hab.,,"Vivienda totalmente reformada y amueblada que cuenta con balcones.
Descubra una joya arquitectónica en el corazón de Chamberí con esta propiedad exclusiva presentada por Walter Haus. Ubicada en un emblemático edificio modernista, esta vivienda reformada ofrece una experiencia de vida incomparable. Construido en 1901 y renovado en 2020, el edificio se distingue por su singularidad arquitectónica y su ubicación privilegiada.
Con una superficie de 227 m², esta residencia deslumbra con un amplio salón comedor, tres balcones con vistas a la calle,",https://www.idealista.com/inmueble/104613472/
"Piso en calle de Covarrubias, Trafalgar, Madrid",2100000,6,350000.0,6 hab.,,"Descubra esta vivienda de lujo, un piso totalmente exterior de situado en una de las calles más prestigiosas de Chamberí. Con una distribución cuidada y funcional, la propiedad ofrece siete amplios huecos a la calle que llenan cada rincón de luz natural, creando un ambiente cálido y acogedor.
El espacio se organiza en un elegante hall de entrada que conecta con un salón amplio y un despacho ideal para trabajar desde casa. El pasillo, amplio y cómodo, conduce a cuatro dormitorios, uno de ellos de servicio, y tres baños completos. La cocina, com",https://www.idealista.com/inmueble/107022842/
"Piso en calle de José Abascal, Nuevos Ministerios-Ríos Rosas, Madrid",3350000,5,670000.0,5 hab.,,"Magnífico piso en calle de José Abascal
En el corazón de Madrid, Engel & Völkers se complace en presentar esta excelente oportunidad de adquirir una propiedad en una de las zonas más selectas del distrito Chamberí.
En la segunda planta de un edificio representativo, construido a mediados del siglo XX, se encuentra esta magnífica vivienda, con 459 metros cuadrados construidos, con servicio de portería, plaza de garaje en finca y trastero.
Al entrar a la vivienda no encontramos con un amplio recibidor que nos conduce a la zona social conformada",https://www.idealista.com/inmueble/107291193/
"Ático en calle de Luchana, Trafalgar, Madrid",2650000,4,662500.0,4 hab.,,"Este espectacular ático de 190 m² construidos, reformado con un diseño impecable, se encuentra a pocos metros de la icónica Plaza de Chamberí. Destaca por sus impresionantes vistas hacia algunos de los edificios más emblemáticos de Madrid y una distribución que fusiona elegancia y funcionalidad. Su diseño abierto maximiza la luz natural, creando un ambiente acogedor y sofisticado.
En el corazón de la vivienda se encuentra una zona de día que integra a la perfección cocina, salón, comedor y terraza de unos 20 metros cuadrados, aproximadamente y",https://www.idealista.com/inmueble/106715932/
"Ático en paseo Walkway de San Francisco de Sales, Vallehermoso, Madrid",986210,2,493105.0,2 hab.,,"DIZA Consultores presenta atico triplex en el mejor edificio de Chamberi.
Descubre este espectacular ático tríplex ubicado en el prestigioso Edificio Mindanao, diseñado para quienes buscan exclusividad, confort y las mejores vistas de la ciudad.
Con una superficie distribuida en tres plantas, este ático cuenta con 2 habitaciones y 3 baños, destacando el dormitorio principal con baño en suite. El salón-comedor, amplio y luminoso, se conecta con una cocina moderna completamente equipada con electrodomésticos de alta gama. En la planta más alta,",https://www.idealista.com/inmueble/107093524/
"Piso en Almagro, Madrid",2400000,3,800000.0,3 hab.,,"Piso en edificio rehabilitado de lujo
DIZA Consultores les presenta formidable vivienda de obra nueva a estrenar, ubicada en la mejor zona de Chamberí, a dos minutos caminando de Alonso Martínez.
En la tercera planta de un edificio representativo con techos muy altos, encontramos este luminoso piso de 227 metros cuadrados con cuatro balcones.
Se trata de un edificio de reciente construcción a estrenar con unas calidades excepcionales.
El salón-comedor es amplio y muy luminoso gracias a los tres balcones de suelo a techo. Toda la vivienda po",https://www.idealista.com/inmueble/98249348/
"Piso en paseo del General Martínez Campos, 17, Almagro, Madrid",2880000,3,960000.0,3 hab.,,"Mavericks Inmobiliaria comercializa esta propiedad en Paseo General Martínez Campos. Se trata de una vivienda que de origen era de 4 dormitorios, por lo que tras una ligera reforma, podrían convertirse en una vivienda de 3 o de 4 dormitorios. Actualmente tiene 2.
La distribución es la siguiente: al entrar, tenemos un amplio salón-comedor, con 3 balcones a la calle, orientación sur y con muchísima luz. Tras el salón-comedor contamos con la cocina totalmente equipada tipo isla. Al atravesar el salón-comedor, contamos con un espacio inmenso, que",https://www.idealista.com/inmueble/107759496/
"Piso en calle de Covarrubias, Trafalgar, Madrid",2100000,6,350000.0,6 hab.,,"PROMORA Inmobiliaria vende magnífica vivienda de lujo exterior en esquina, con una plaza de garaje y acceso a aparcamiento para residentes, con 7 amplios huecos exteriores a la calle, lo que garantiza mucha luz natural y unas grandes posibilidades de reforma por su distribución, en una de las Calles más prestigiosas del distrito de Chamberí, al lado del barrio de Almagro.
Con 274 metros cuadrados construidos, su distribución actual con dos accesos bien diferenciados, uno principal y uno de servicio, dan cabida a seis dormitorios y tres baños,",https://www.idealista.com/inmueble/107271124/
"Piso en calle de Modesto Lafuente, Almagro, Madrid",1245000,3,415000.0,3 hab.,,"PISO EXTERIOR REFORMADO A ESTRENAR CON TERRAZA EN ALMAGRO
Aproperties pone a la venta este magnífico piso exterior reformado a estrenar en la calle Modesto Lafuente en el barrio de Almagro. Se trata un segundo piso de 120 m² construidos muy bien distribuidos.
La zona de día cuenta con un amplio salón comedor, con acceso a una preciosa y agradable terraza de unos 8 m², que da gran amplitud a toda la estancia. La cocina es independiente y está completamente equipada con electrodomésticos de alta gama, panelados y con una agradable barra de desa",https://www.idealista.com/inmueble/107695521/
"Piso en paseo del General Martínez Campos, Almagro, Madrid",1790000,3,596666.67,3 hab.,,"UNICA INMOBILIARIA presenta (EN EXCLUSIVA) esta fantástica vivienda toda exterior recién reformada y en una ubicación inmejorable en el barrio de ALMAGRO en el distrito de Chamberí.
Es una magnifica propiedad para todos los que buscan una vivienda en una de las zonas más premium de Madrid.
Su elegante reforma con materiales de primera calidad, llevada a cabo por el prestigioso equipo de Tristan Domecq, hace que este inmueble sea una joya situada en una ubicación de lujo. Consta de 128 M2 que se distribuye en 3 habitaciones dobles, dos baños,",https://www.idealista.com/inmueble/107621097/
"Piso en calle de Jerónimo de la Quintana, 7, Trafalgar, Madrid",615000,3,205000.0,3 hab.,,"GLOBALPISO CHAMBERÍ VENDE EN EXCLUSIVA: Piso exterior con 65 m2, de 3 dormitorios. Se encuentra en una segunda planta exterior, lo que permite disfrutar de una excelente luz natural. El tercero de los dormitorios ha sido habilitado como despacho, ideal para quienes necesiten un espacio de trabajo tranquilo y separado. El piso dispone de 5 ventanas, distribuidas en el salón, dormitorio, baño y despacho, que ofrecen vistas a la calle Jerónimo de la Quintana, una zona muy animada y bien comunicada.
El edificio cuenta con portero físico, ascensor",https://www.idealista.com/inmueble/107765880/
"Piso en Almagro, Madrid",1450000,2,725000.0,2 hab.,,"ÚNICA Inmobiliaria pone a su disposición magnífica vivienda exterior con terraza en pleno triángulo de oro del prestigioso barrio de Almagro.
El inmueble se ubica en una quinta planta exterior con una gran terraza alargada que se accede desde el salón y desde la cual se disfruta de unas envidiables vistas. La luz natural está garantizada debido a la altura y al tratarse de un piso exterior.
El inmueble se encuentra en buen estado para entrar a vivir y si se desearan hacer actualizaciones su distribución da lugar a varias posibilidades.
Con r",https://www.idealista.com/inmueble/107860784/
"Ático en paseo del General Martínez Campos, Almagro, Madrid",2600000,2,1300000.0,2 hab.,,"BARNES Madrid presenta este elegante y sofisticado piso ubicado en la mejor zona de Almagro, en un edificio representativo con conserje y portería de gran presencia. Esta propiedad, completamente reformada con las más altas calidades, ofrece un diseño moderno y funcional que combina a la perfección estilo, confort y tecnología.
La vivienda cuenta con un espacioso hall de entrada que da paso a un impresionante salón-comedor con amplios ventanales, que llenan el espacio de luz natural y aportan una sensación de amplitud y bienestar. La cocina, d",https://www.idealista.com/inmueble/107490583/
"Piso en calle de Zurbano, Nuevos Ministerios-Ríos Rosas, Madrid",2430000,5,486000.0,5 hab.,,"QUARTIERS Expertos Inmobiliarios. Agents Immobiliers Français. Real Estate Services.
Quartiers presenta este espectacular piso con terraza, que destaca por su inmejorable ubicación en la zona de Almagro, rodeada de todo tipo de servicios y muy bien comunicado. Ocupa la tercera planta de una finca con ascensor y portero. El interior de la vivienda, que necesita reforma, cuenta con una amplísima zona de recibo con 3 salones conectados, con salida a una buena terraza exterior. El piso dispone de dos entradas, una principal, con un hall muy amplio",https://www.idealista.com/inmueble/107249739/
"Piso en Gaztambide, Madrid",720000,2,360000.0,2 hab.,,"UNICA ofrece este magnifico y luminoso piso con vistas a la sierra en la mejor zona de Gaztambide, ubicado en el sexto piso de un edificio con ascensor y con una superficie total de 92m² esta vivienda posee grandes posibilidades de reforma, distribución y espacio para hacer de esta vivienda un lugar con estilo propio y encantador en el corazón de Madrid.
Distribuida en 2 dormitorios y 1 baño, dispone de aire acondicionado (frío) y calefacción central con contador individual asegurando el confort durante todo el año. con suelos de parquet y car",https://www.idealista.com/inmueble/107490823/
"Piso en paseo del General Martínez Campos, Almagro, Madrid",2150000,4,537500.0,4 hab.,,"Ubicado en el prestigioso barrio de Chamberí, en la codiciada zona de Almagro, este exquisito piso de lujo ofrece una oportunidad única para aquellos que buscan una residencia que combine elegancia, comodidad y ubicación privilegiada. Con una superficie de 207 metros cuadrados este hogar impresiona desde el primer momento.
Este piso se encuentra en la tercera planta de un elegante edificio, garantizando privacidad y tranquilidad. Además, el piso recibe una abundante cantidad de luz natural durante todo el día, creando un ambiente luminoso y ac",https://www.idealista.com/inmueble/106273948/
